physical_quantity,power
type,active
2023-08-05 23:55:58,0.063505
2023-08-05 23:56:14,0.063633
2023-08-05 23:56:29,0.063697
2023-08-05 23:56:45,0.063278
2023-08-05 23:57:00,0.063265
2023-08-05 23:57:18,0.063527
2023-08-05 23:57:33,0.063671
2023-08-05 23:57:50,0.063651
2023-08-05 23:58:04,0.112446
2023-08-05 23:58:22,0.112495
2023-08-05 23:58:37,0.113435
2023-08-05 23:58:53,0.112549
2023-08-05 23:59:07,0.111494
2023-08-05 23:59:24,0.110038
2023-08-05 23:59:39,0.109645
2023-08-05 23:59:57,0.109186
2023-08-06 00:00:11,0.109826
2023-08-06 00:00:28,0.108994
2023-08-06 00:00:44,0.110082
2023-08-06 00:00:59,0.109655
2023-08-06 00:01:15,0.10999
2023-08-06 00:01:31,0.109616
2023-08-06 00:01:46,0.109149
2023-08-06 00:02:04,0.16537
2023-08-06 00:02:18,0.158186
2023-08-06 00:02:35,0.156577
2023-08-06 00:02:50,0.157187
2023-08-06 00:03:07,0.159176
2023-08-06 00:03:22,0.160976
2023-08-06 00:03:39,0.162601
2023-08-06 00:03:54,0.16187
2023-08-06 00:04:11,0.162796
2023-08-06 00:04:26,0.162966
2023-08-06 00:04:42,0.162276
2023-08-06 00:04:57,0.162711
2023-08-06 00:05:14,0.109554
2023-08-06 00:05:30,0.108464
2023-08-06 00:05:46,0.108523
2023-08-06 00:06:01,0.108777
2023-08-06 00:06:19,0.108125
2023-08-06 00:06:34,0.108739
2023-08-06 00:06:49,0.109008
2023-08-06 00:07:04,0.108769
2023-08-06 00:07:22,0.108315
2023-08-06 00:07:36,0.108285
2023-08-06 00:07:54,0.107505
2023-08-06 00:08:09,0.107887
2023-08-06 00:08:25,0.107882
2023-08-06 00:08:41,0.107798
2023-08-06 00:08:57,0.108261
2023-08-06 00:09:12,0.107611
2023-08-06 00:09:30,0.10737
2023-08-06 00:09:44,0.108249
2023-08-06 00:10:00,0.108165
2023-08-06 00:10:17,0.107505
2023-08-06 00:10:33,0.107344
2023-08-06 00:10:48,0.108385
2023-08-06 00:11:04,0.106942
2023-08-06 00:11:19,0.107623
2023-08-06 00:11:36,0.107884
2023-08-06 00:11:51,0.107419
2023-08-06 00:12:09,0.107482
2023-08-06 00:12:24,0.106971
2023-08-06 00:12:41,0.107609
2023-08-06 00:12:56,0.106915
2023-08-06 00:13:13,0.107497
2023-08-06 00:13:27,0.107207
2023-08-06 00:13:45,0.107692
2023-08-06 00:14:00,0.106807
2023-08-06 00:14:15,0.106852
2023-08-06 00:14:31,0.107021
2023-08-06 00:14:47,0.106879
2023-08-06 00:15:03,0.106602
2023-08-06 00:15:20,0.106656
2023-08-06 00:15:35,0.107224
2023-08-06 00:15:51,0.106903
2023-08-06 00:16:06,0.10709
2023-08-06 00:16:24,0.107254
2023-08-06 00:16:39,0.107112
2023-08-06 00:16:55,0.107325
2023-08-06 00:17:11,0.107373
2023-08-06 00:17:27,0.107179
2023-08-06 00:17:43,0.106656
2023-08-06 00:17:59,0.106743
2023-08-06 00:18:15,0.106712
2023-08-06 00:18:31,0.106309
2023-08-06 00:18:46,0.106986
2023-08-06 00:19:04,0.106415
2023-08-06 00:19:19,0.064283
2023-08-06 00:19:36,0.064049
2023-08-06 00:19:50,0.06319
2023-08-06 00:20:08,0.125048
2023-08-06 00:20:23,0.116317
2023-08-06 00:20:40,0.11289
2023-08-06 00:20:54,0.111937
2023-08-06 00:21:11,0.114168
2023-08-06 00:21:27,0.115747
2023-08-06 00:21:43,0.115641
2023-08-06 00:21:58,0.115985
2023-08-06 00:22:15,0.116659
2023-08-06 00:22:30,0.117239
2023-08-06 00:22:47,0.117304
2023-08-06 00:23:02,0.117093
2023-08-06 00:23:20,0.117781
2023-08-06 00:23:35,0.117503
2023-08-06 00:23:50,0.11821
2023-08-06 00:24:06,0.063857
2023-08-06 00:24:23,0.063484
2023-08-06 00:24:37,0.063489
2023-08-06 00:24:54,0.063352
2023-08-06 00:25:09,0.063247
2023-08-06 00:25:26,0.06341
2023-08-06 00:25:41,0.063046
2023-08-06 00:25:58,0.063455
2023-08-06 00:26:13,0.063204
2023-08-06 00:26:30,0.0633
2023-08-06 00:26:46,0.06376
2023-08-06 00:27:02,0.063081
2023-08-06 00:27:17,0.063874
2023-08-06 00:27:34,0.063693
2023-08-06 00:27:48,0.063904
2023-08-06 00:28:05,0.063755
2023-08-06 00:28:20,0.064026
2023-08-06 00:28:38,0.063907
2023-08-06 00:28:52,0.063747
2023-08-06 00:29:09,0.063834
2023-08-06 00:29:24,0.063392
2023-08-06 00:29:41,0.063799
2023-08-06 00:29:57,0.063665
2023-08-06 00:30:13,0.064072
2023-08-06 00:30:29,0.063756
2023-08-06 00:30:45,0.063973
2023-08-06 00:31:00,0.063463
2023-08-06 00:31:17,0.063204
2023-08-06 00:31:32,0.063122
2023-08-06 00:31:48,0.063116
2023-08-06 00:32:03,0.06377
2023-08-06 00:32:20,0.064037
2023-08-06 00:32:36,0.064138
2023-08-06 00:32:53,0.063959
2023-08-06 00:33:08,0.063791
2023-08-06 00:33:24,0.063597
2023-08-06 00:33:39,0.064286
2023-08-06 00:33:57,0.063963
2023-08-06 00:34:11,0.063699
2023-08-06 00:34:28,0.063362
2023-08-06 00:34:43,0.063647
2023-08-06 00:35:00,0.063729
2023-08-06 00:35:15,0.063939
2023-08-06 00:35:32,0.063699
2023-08-06 00:35:48,0.06378
2023-08-06 00:36:03,0.06358
2023-08-06 00:36:19,0.06356
2023-08-06 00:36:36,0.064451
2023-08-06 00:36:51,0.063811
2023-08-06 00:37:07,0.064058
2023-08-06 00:37:23,0.063796
2023-08-06 00:37:39,0.063945
2023-08-06 00:37:54,0.063783
2023-08-06 00:38:11,0.063939
2023-08-06 00:38:27,0.06372
2023-08-06 00:38:43,0.063779
2023-08-06 00:38:59,0.064573
2023-08-06 00:39:15,0.063768
2023-08-06 00:39:30,0.062969
2023-08-06 00:39:46,0.050916
2023-08-06 00:40:02,0.05099
2023-08-06 00:40:19,0.050789
2023-08-06 00:40:33,0.050903
2023-08-06 00:40:50,0.051031
2023-08-06 00:41:05,0.051196
2023-08-06 00:41:22,0.051262
2023-08-06 00:41:37,0.050911
2023-08-06 00:41:55,0.051209
2023-08-06 00:42:09,0.050841
2023-08-06 00:42:27,0.050412
2023-08-06 00:42:41,0.051255
2023-08-06 00:42:58,0.05143
2023-08-06 00:43:13,0.051173
2023-08-06 00:43:30,0.050537
2023-08-06 00:43:45,0.050782
2023-08-06 00:44:02,0.051082
2023-08-06 00:44:17,0.050616
2023-08-06 00:44:34,0.050542
2023-08-06 00:44:49,0.051175
2023-08-06 00:45:05,0.107402
2023-08-06 00:45:20,0.100491
2023-08-06 00:45:37,0.099784
2023-08-06 00:45:52,0.100875
2023-08-06 00:46:09,0.100295
2023-08-06 00:46:24,0.101215
2023-08-06 00:46:42,0.103789
2023-08-06 00:46:56,0.104448
2023-08-06 00:47:13,0.105071
2023-08-06 00:47:28,0.104798
2023-08-06 00:47:45,0.104337
2023-08-06 00:48:00,0.104719
2023-08-06 00:48:17,0.104447
2023-08-06 00:48:32,0.104596
2023-08-06 00:48:49,0.10487
2023-08-06 00:49:04,0.051215
2023-08-06 00:49:20,0.050629
2023-08-06 00:49:35,0.050619
2023-08-06 00:49:52,0.051492
2023-08-06 00:50:07,0.050665
2023-08-06 00:50:25,0.050932
2023-08-06 00:50:40,0.05009
2023-08-06 00:50:57,0.050531
2023-08-06 00:51:12,0.050627
2023-08-06 00:51:28,0.050804
2023-08-06 00:51:44,0.050816
2023-08-06 00:52:00,0.051064
2023-08-06 00:52:17,0.051151
2023-08-06 00:52:32,0.051318
2023-08-06 00:52:48,0.051188
2023-08-06 00:53:04,0.050928
